客户,日期,机柜ID,时段,小时数,电量(kWh),单价(元/kWh),电费(元),峰谷标识
客户A,2026-05-14,R002,平段,2,2.25,0.8,1.8,谷时
客户A,2026-05-14,R002,平段,3,3.375,0.8,2.7,谷时
客户A,2026-05-14,R002,平段,1,1.125,0.8,0.9,谷时
客户A,2026-05-14,R002,谷段,6,6.75,0.4,2.7,谷时
客户C,2026-05-14,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-14,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-14,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-14,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-14,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-14,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-14,R004,平段,2,2.025,0.8,1.62,谷时
客户C,2026-05-14,R004,平段,3,3.0375,0.8,2.43,谷时
客户C,2026-05-14,R004,平段,1,1.0125,0.8,0.81,谷时
客户C,2026-05-14,R004,谷段,6,6.075,0.4,2.43,谷时
客户A,2026-05-15,R001,尖峰,2,2.8125,1.5,4.22,峰时
客户A,2026-05-15,R001,尖峰,2,2.8125,1.5,4.22,峰时
客户A,2026-05-15,R001,高峰,2,2.8125,1.2,3.38,峰时
客户A,2026-05-15,R001,高峰,2,2.8125,1.2,3.38,峰时
客户A,2026-05-15,R001,高峰,2,2.8125,1.2,3.38,峰时
客户A,2026-05-15,R001,高峰,2,2.8125,1.2,3.38,峰时
客户A,2026-05-15,R001,平段,2,2.8125,0.8,2.25,谷时
客户A,2026-05-15,R001,平段,3,4.2188,0.8,3.38,谷时
客户A,2026-05-15,R001,平段,1,1.4062,0.8,1.12,谷时
客户A,2026-05-15,R001,谷段,6,8.4375,0.4,3.38,谷时
客户A,2026-05-15,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-15,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-15,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-15,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-15,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-15,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-15,R002,平段,2,2.25,0.8,1.8,谷时
客户A,2026-05-15,R002,平段,3,3.375,0.8,2.7,谷时
客户A,2026-05-15,R002,平段,1,1.125,0.8,0.9,谷时
客户A,2026-05-15,R002,谷段,6,6.75,0.4,2.7,谷时
客户C,2026-05-15,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-15,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-15,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-15,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-15,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-15,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-15,R004,平段,2,2.025,0.8,1.62,谷时
客户C,2026-05-15,R004,平段,3,3.0375,0.8,2.43,谷时
客户C,2026-05-15,R004,平段,1,1.0125,0.8,0.81,谷时
客户C,2026-05-15,R004,谷段,6,6.075,0.4,2.43,谷时
客户A,2026-05-16,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-16,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-16,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-16,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-16,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-16,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-16,R001,平段,2,2.7,0.8,2.16,谷时
客户A,2026-05-16,R001,平段,3,4.05,0.8,3.24,谷时
客户A,2026-05-16,R001,平段,1,1.35,0.8,1.08,谷时
客户A,2026-05-16,R001,谷段,6,8.1,0.4,3.24,谷时
客户A,2026-05-16,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-16,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-16,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-16,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-16,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-16,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-16,R002,平段,2,2.25,0.8,1.8,谷时
客户A,2026-05-16,R002,平段,3,3.375,0.8,2.7,谷时
客户A,2026-05-16,R002,平段,1,1.125,0.8,0.9,谷时
客户A,2026-05-16,R002,谷段,6,6.75,0.4,2.7,谷时
客户B,2026-05-16,R003,尖峰,2,3.375,1.5,5.06,峰时
客户B,2026-05-16,R003,尖峰,2,3.375,1.5,5.06,峰时
客户B,2026-05-16,R003,高峰,2,3.375,1.2,4.05,峰时
客户B,2026-05-16,R003,高峰,2,3.375,1.2,4.05,峰时
客户B,2026-05-16,R003,高峰,2,3.375,1.2,4.05,峰时
客户B,2026-05-16,R003,高峰,2,3.375,1.2,4.05,峰时
客户B,2026-05-16,R003,平段,2,3.375,0.8,2.7,谷时
客户B,2026-05-16,R003,平段,3,5.0625,0.8,4.05,谷时
客户B,2026-05-16,R003,平段,1,1.6875,0.8,1.35,谷时
客户B,2026-05-16,R003,谷段,6,10.125,0.4,4.05,谷时
客户C,2026-05-16,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-16,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-16,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-16,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-16,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-16,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-16,R004,平段,2,2.025,0.8,1.62,谷时
客户C,2026-05-16,R004,平段,3,3.0375,0.8,2.43,谷时
客户C,2026-05-16,R004,平段,1,1.0125,0.8,0.81,谷时
客户C,2026-05-16,R004,谷段,6,6.075,0.4,2.43,谷时
客户A,2026-05-17,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-17,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-17,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-17,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-17,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-17,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-17,R001,平段,2,2.7,0.8,2.16,谷时
客户A,2026-05-17,R001,平段,3,4.05,0.8,3.24,谷时
客户A,2026-05-17,R001,平段,1,1.35,0.8,1.08,谷时
客户A,2026-05-17,R001,谷段,6,8.1,0.4,3.24,谷时
客户A,2026-05-17,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-17,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-17,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-17,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-17,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-17,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-17,R002,平段,2,2.25,0.8,1.8,谷时
客户A,2026-05-17,R002,平段,3,3.375,0.8,2.7,谷时
客户A,2026-05-17,R002,平段,1,1.125,0.8,0.9,谷时
客户A,2026-05-17,R002,谷段,6,6.75,0.4,2.7,谷时
客户B,2026-05-17,R003,尖峰,2,3.375,1.5,5.06,峰时
客户B,2026-05-17,R003,尖峰,2,3.375,1.5,5.06,峰时
客户B,2026-05-17,R003,高峰,2,3.375,1.2,4.05,峰时
客户B,2026-05-17,R003,高峰,2,3.375,1.2,4.05,峰时
客户B,2026-05-17,R003,高峰,2,3.375,1.2,4.05,峰时
客户B,2026-05-17,R003,高峰,2,3.375,1.2,4.05,峰时
客户B,2026-05-17,R003,平段,2,3.375,0.8,2.7,谷时
客户B,2026-05-17,R003,平段,3,5.0625,0.8,4.05,谷时
客户B,2026-05-17,R003,平段,1,1.6875,0.8,1.35,谷时
客户B,2026-05-17,R003,谷段,6,10.125,0.4,4.05,谷时
客户C,2026-05-17,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-17,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-17,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-17,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-17,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-17,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-17,R004,平段,2,2.025,0.8,1.62,谷时
客户C,2026-05-17,R004,平段,3,3.0375,0.8,2.43,谷时
客户C,2026-05-17,R004,平段,1,1.0125,0.8,0.81,谷时
客户C,2026-05-17,R004,谷段,6,6.075,0.4,2.43,谷时
客户A,2026-05-18,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-18,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-18,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-18,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-18,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-18,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-18,R001,平段,2,2.7,0.8,2.16,谷时
客户A,2026-05-18,R001,平段,3,4.05,0.8,3.24,谷时
客户A,2026-05-18,R001,平段,1,1.35,0.8,1.08,谷时
客户A,2026-05-18,R001,谷段,6,8.1,0.4,3.24,谷时
客户A,2026-05-18,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-18,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-18,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-18,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-18,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-18,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-18,R002,平段,2,2.25,0.8,1.8,谷时
客户A,2026-05-18,R002,平段,3,3.375,0.8,2.7,谷时
客户A,2026-05-18,R002,平段,1,1.125,0.8,0.9,谷时
客户A,2026-05-18,R002,谷段,6,6.75,0.4,2.7,谷时
客户B,2026-05-18,R003,尖峰,2,3.375,1.5,5.06,峰时
客户B,2026-05-18,R003,尖峰,2,3.375,1.5,5.06,峰时
客户B,2026-05-18,R003,高峰,2,3.375,1.2,4.05,峰时
客户B,2026-05-18,R003,高峰,2,3.375,1.2,4.05,峰时
客户B,2026-05-18,R003,高峰,2,3.375,1.2,4.05,峰时
客户B,2026-05-18,R003,高峰,2,3.375,1.2,4.05,峰时
客户B,2026-05-18,R003,平段,2,3.375,0.8,2.7,谷时
客户B,2026-05-18,R003,平段,3,5.0625,0.8,4.05,谷时
客户B,2026-05-18,R003,平段,1,1.6875,0.8,1.35,谷时
客户B,2026-05-18,R003,谷段,6,10.125,0.4,4.05,谷时
客户C,2026-05-18,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-18,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-18,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-18,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-18,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-18,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-18,R004,平段,2,2.025,0.8,1.62,谷时
客户C,2026-05-18,R004,平段,3,3.0375,0.8,2.43,谷时
客户C,2026-05-18,R004,平段,1,1.0125,0.8,0.81,谷时
客户C,2026-05-18,R004,谷段,6,6.075,0.4,2.43,谷时
客户A,2026-05-19,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-19,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-19,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-19,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-19,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-19,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-19,R001,平段,2,2.7,0.8,2.16,谷时
客户A,2026-05-19,R001,平段,3,4.05,0.8,3.24,谷时
客户A,2026-05-19,R001,平段,1,1.35,0.8,1.08,谷时
客户A,2026-05-19,R001,谷段,6,8.1,0.4,3.24,谷时
客户A,2026-05-19,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-19,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-19,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-19,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-19,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-19,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-19,R002,平段,2,2.25,0.8,1.8,谷时
客户A,2026-05-19,R002,平段,3,3.375,0.8,2.7,谷时
客户A,2026-05-19,R002,平段,1,1.125,0.8,0.9,谷时
客户A,2026-05-19,R002,谷段,6,6.75,0.4,2.7,谷时
客户B,2026-05-19,R003,尖峰,2,3.375,1.5,5.06,峰时
客户B,2026-05-19,R003,尖峰,2,3.375,1.5,5.06,峰时
客户B,2026-05-19,R003,高峰,2,3.375,1.2,4.05,峰时
客户B,2026-05-19,R003,高峰,2,3.375,1.2,4.05,峰时
客户B,2026-05-19,R003,高峰,2,3.375,1.2,4.05,峰时
客户B,2026-05-19,R003,高峰,2,3.375,1.2,4.05,峰时
客户B,2026-05-19,R003,平段,2,3.375,0.8,2.7,谷时
客户B,2026-05-19,R003,平段,3,5.0625,0.8,4.05,谷时
客户B,2026-05-19,R003,平段,1,1.6875,0.8,1.35,谷时
客户B,2026-05-19,R003,谷段,6,10.125,0.4,4.05,谷时
客户C,2026-05-19,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-19,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-19,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-19,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-19,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-19,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-19,R004,平段,2,2.025,0.8,1.62,谷时
客户C,2026-05-19,R004,平段,3,3.0375,0.8,2.43,谷时
客户C,2026-05-19,R004,平段,1,1.0125,0.8,0.81,谷时
客户C,2026-05-19,R004,谷段,6,6.075,0.4,2.43,谷时
客户A,2026-05-20,R001,尖峰,2,2.76,1.5,4.14,峰时
客户A,2026-05-20,R001,尖峰,2,2.76,1.5,4.14,峰时
客户A,2026-05-20,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-20,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-20,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-20,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-20,R001,平段,2,2.76,0.8,2.21,谷时
客户A,2026-05-20,R001,平段,3,4.14,0.8,3.31,谷时
客户A,2026-05-20,R001,平段,1,1.38,0.8,1.1,谷时
客户A,2026-05-20,R001,谷段,6,8.28,0.4,3.31,谷时
客户A,2026-05-20,R002,尖峰,2,2.3,1.5,3.45,峰时
客户A,2026-05-20,R002,尖峰,2,2.3,1.5,3.45,峰时
客户A,2026-05-20,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-20,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-20,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-20,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-20,R002,平段,2,2.3,0.8,1.84,谷时
客户A,2026-05-20,R002,平段,3,3.45,0.8,2.76,谷时
客户A,2026-05-20,R002,平段,1,1.15,0.8,0.92,谷时
客户A,2026-05-20,R002,谷段,6,6.9,0.4,2.76,谷时
客户B,2026-05-20,R003,尖峰,2,3.45,1.5,5.17,峰时
客户B,2026-05-20,R003,尖峰,2,3.45,1.5,5.17,峰时
客户B,2026-05-20,R003,高峰,2,3.45,1.2,4.14,峰时
客户B,2026-05-20,R003,高峰,2,3.45,1.2,4.14,峰时
客户B,2026-05-20,R003,高峰,2,3.45,1.2,4.14,峰时
客户B,2026-05-20,R003,高峰,2,3.45,1.2,4.14,峰时
客户B,2026-05-20,R003,平段,2,3.45,0.8,2.76,谷时
客户B,2026-05-20,R003,平段,3,5.175,0.8,4.14,谷时
客户B,2026-05-20,R003,平段,1,1.725,0.8,1.38,谷时
客户B,2026-05-20,R003,谷段,6,10.35,0.4,4.14,谷时
客户C,2026-05-20,R004,尖峰,2,2.07,1.5,3.1,峰时
客户C,2026-05-20,R004,尖峰,2,2.07,1.5,3.1,峰时
客户C,2026-05-20,R004,高峰,2,2.07,1.2,2.48,峰时
客户C,2026-05-20,R004,高峰,2,2.07,1.2,2.48,峰时
客户C,2026-05-20,R004,高峰,2,2.07,1.2,2.48,峰时
客户C,2026-05-20,R004,高峰,2,2.07,1.2,2.48,峰时
客户C,2026-05-20,R004,平段,2,2.07,0.8,1.66,谷时
客户C,2026-05-20,R004,平段,3,3.105,0.8,2.48,谷时
客户C,2026-05-20,R004,平段,1,1.035,0.8,0.83,谷时
客户C,2026-05-20,R004,谷段,6,6.21,0.4,2.48,谷时
客户A,2026-05-21,R001,尖峰,2,2.76,1.5,4.14,峰时
客户A,2026-05-21,R001,尖峰,2,2.76,1.5,4.14,峰时
客户A,2026-05-21,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-21,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-21,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-21,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-21,R001,平段,2,2.76,0.8,2.21,谷时
客户A,2026-05-21,R001,平段,3,4.14,0.8,3.31,谷时
客户A,2026-05-21,R001,平段,1,1.38,0.8,1.1,谷时
客户A,2026-05-21,R001,谷段,6,8.28,0.4,3.31,谷时
客户A,2026-05-21,R002,尖峰,2,2.3,1.5,3.45,峰时
客户A,2026-05-21,R002,尖峰,2,2.3,1.5,3.45,峰时
客户A,2026-05-21,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-21,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-21,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-21,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-21,R002,平段,2,2.3,0.8,1.84,谷时
客户A,2026-05-21,R002,平段,3,3.45,0.8,2.76,谷时
客户A,2026-05-21,R002,平段,1,1.15,0.8,0.92,谷时
客户A,2026-05-21,R002,谷段,6,6.9,0.4,2.76,谷时
客户B,2026-05-21,R003,尖峰,2,3.45,1.5,5.17,峰时
客户B,2026-05-21,R003,尖峰,2,3.45,1.5,5.17,峰时
客户B,2026-05-21,R003,高峰,2,3.45,1.2,4.14,峰时
客户B,2026-05-21,R003,高峰,2,3.45,1.2,4.14,峰时
客户B,2026-05-21,R003,高峰,2,3.45,1.2,4.14,峰时
客户B,2026-05-21,R003,高峰,2,3.45,1.2,4.14,峰时
客户B,2026-05-21,R003,平段,2,3.45,0.8,2.76,谷时
客户B,2026-05-21,R003,平段,3,5.175,0.8,4.14,谷时
客户B,2026-05-21,R003,平段,1,1.725,0.8,1.38,谷时
客户B,2026-05-21,R003,谷段,6,10.35,0.4,4.14,谷时
客户C,2026-05-21,R004,尖峰,2,2.07,1.5,3.1,峰时
客户C,2026-05-21,R004,尖峰,2,2.07,1.5,3.1,峰时
客户C,2026-05-21,R004,高峰,2,2.07,1.2,2.48,峰时
客户C,2026-05-21,R004,高峰,2,2.07,1.2,2.48,峰时
客户C,2026-05-21,R004,高峰,2,2.07,1.2,2.48,峰时
客户C,2026-05-21,R004,高峰,2,2.07,1.2,2.48,峰时
客户C,2026-05-21,R004,平段,2,2.07,0.8,1.66,谷时
客户C,2026-05-21,R004,平段,3,3.105,0.8,2.48,谷时
客户C,2026-05-21,R004,平段,1,1.035,0.8,0.83,谷时
客户C,2026-05-21,R004,谷段,6,6.21,0.4,2.48,谷时
客户A,2026-05-22,R001,尖峰,2,2.76,1.5,4.14,峰时
客户A,2026-05-22,R001,尖峰,2,2.76,1.5,4.14,峰时
客户A,2026-05-22,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-22,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-22,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-22,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-22,R001,平段,2,2.76,0.8,2.21,谷时
客户A,2026-05-22,R001,平段,3,4.14,0.8,3.31,谷时
客户A,2026-05-22,R001,平段,1,1.38,0.8,1.1,谷时
客户A,2026-05-22,R001,谷段,6,8.28,0.4,3.31,谷时
客户A,2026-05-22,R002,尖峰,2,2.3,1.5,3.45,峰时
客户A,2026-05-22,R002,尖峰,2,2.3,1.5,3.45,峰时
客户A,2026-05-22,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-22,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-22,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-22,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-22,R002,平段,2,2.3,0.8,1.84,谷时
客户A,2026-05-22,R002,平段,3,3.45,0.8,2.76,谷时
客户A,2026-05-22,R002,平段,1,1.15,0.8,0.92,谷时
客户A,2026-05-22,R002,谷段,6,6.9,0.4,2.76,谷时
客户B,2026-05-22,R003,尖峰,2,3.45,1.5,5.17,峰时
客户B,2026-05-22,R003,尖峰,2,3.45,1.5,5.17,峰时
客户B,2026-05-22,R003,高峰,2,3.45,1.2,4.14,峰时
客户B,2026-05-22,R003,高峰,2,3.45,1.2,4.14,峰时
客户B,2026-05-22,R003,高峰,2,3.45,1.2,4.14,峰时
客户B,2026-05-22,R003,高峰,2,3.45,1.2,4.14,峰时
客户B,2026-05-22,R003,平段,2,3.45,0.8,2.76,谷时
客户B,2026-05-22,R003,平段,3,5.175,0.8,4.14,谷时
客户B,2026-05-22,R003,平段,1,1.725,0.8,1.38,谷时
客户B,2026-05-22,R003,谷段,6,10.35,0.4,4.14,谷时
客户C,2026-05-22,R004,尖峰,2,2.07,1.5,3.1,峰时
客户C,2026-05-22,R004,尖峰,2,2.07,1.5,3.1,峰时
客户C,2026-05-22,R004,高峰,2,2.07,1.2,2.48,峰时
客户C,2026-05-22,R004,高峰,2,2.07,1.2,2.48,峰时
客户C,2026-05-22,R004,高峰,2,2.07,1.2,2.48,峰时
客户C,2026-05-22,R004,高峰,2,2.07,1.2,2.48,峰时
客户C,2026-05-22,R004,平段,2,2.07,0.8,1.66,谷时
客户C,2026-05-22,R004,平段,3,3.105,0.8,2.48,谷时
客户C,2026-05-22,R004,平段,1,1.035,0.8,0.83,谷时
客户C,2026-05-22,R004,谷段,6,6.21,0.4,2.48,谷时
客户A,2026-05-23,R001,尖峰,2,2.76,1.5,4.14,峰时
客户A,2026-05-23,R001,尖峰,2,2.76,1.5,4.14,峰时
客户A,2026-05-23,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-23,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-23,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-23,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-23,R001,平段,2,2.76,0.8,2.21,谷时
客户A,2026-05-23,R001,平段,3,4.14,0.8,3.31,谷时
客户A,2026-05-23,R001,平段,1,1.38,0.8,1.1,谷时
客户A,2026-05-23,R001,谷段,6,8.28,0.4,3.31,谷时
客户A,2026-05-23,R002,尖峰,2,2.3,1.5,3.45,峰时
客户A,2026-05-23,R002,尖峰,2,2.3,1.5,3.45,峰时
客户A,2026-05-23,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-23,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-23,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-23,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-23,R002,平段,2,2.3,0.8,1.84,谷时
客户A,2026-05-23,R002,平段,3,3.45,0.8,2.76,谷时
客户A,2026-05-23,R002,平段,1,1.15,0.8,0.92,谷时
客户A,2026-05-23,R002,谷段,6,6.9,0.4,2.76,谷时
客户B,2026-05-23,R003,尖峰,2,3.45,1.5,5.17,峰时
客户B,2026-05-23,R003,尖峰,2,3.45,1.5,5.17,峰时
客户B,2026-05-23,R003,高峰,2,3.45,1.2,4.14,峰时
客户B,2026-05-23,R003,高峰,2,3.45,1.2,4.14,峰时
客户B,2026-05-23,R003,高峰,2,3.45,1.2,4.14,峰时
客户B,2026-05-23,R003,高峰,2,3.45,1.2,4.14,峰时
客户B,2026-05-23,R003,平段,2,3.45,0.8,2.76,谷时
客户B,2026-05-23,R003,平段,3,5.175,0.8,4.14,谷时
客户B,2026-05-23,R003,平段,1,1.725,0.8,1.38,谷时
客户B,2026-05-23,R003,谷段,6,10.35,0.4,4.14,谷时
客户C,2026-05-23,R004,尖峰,2,2.07,1.5,3.1,峰时
客户C,2026-05-23,R004,尖峰,2,2.07,1.5,3.1,峰时
客户C,2026-05-23,R004,高峰,2,2.07,1.2,2.48,峰时
客户C,2026-05-23,R004,高峰,2,2.07,1.2,2.48,峰时
客户C,2026-05-23,R004,高峰,2,2.07,1.2,2.48,峰时
客户C,2026-05-23,R004,高峰,2,2.07,1.2,2.48,峰时
客户C,2026-05-23,R004,平段,2,2.07,0.8,1.66,谷时
客户C,2026-05-23,R004,平段,3,3.105,0.8,2.48,谷时
客户C,2026-05-23,R004,平段,1,1.035,0.8,0.83,谷时
客户C,2026-05-23,R004,谷段,6,6.21,0.4,2.48,谷时
客户A,2026-05-24,R001,尖峰,2,2.76,1.5,4.14,峰时
客户A,2026-05-24,R001,尖峰,2,2.76,1.5,4.14,峰时
客户A,2026-05-24,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-24,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-24,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-24,R001,高峰,2,2.76,1.2,3.31,峰时
客户A,2026-05-24,R001,平段,2,2.76,0.8,2.21,谷时
客户A,2026-05-24,R001,平段,3,4.14,0.8,3.31,谷时
客户A,2026-05-24,R001,平段,1,1.38,0.8,1.1,谷时
客户A,2026-05-24,R001,谷段,6,8.28,0.4,3.31,谷时
客户A,2026-05-24,R002,尖峰,2,2.3,1.5,3.45,峰时
客户A,2026-05-24,R002,尖峰,2,2.3,1.5,3.45,峰时
客户A,2026-05-24,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-24,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-24,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-24,R002,高峰,2,2.3,1.2,2.76,峰时
客户A,2026-05-24,R002,平段,2,2.3,0.8,1.84,谷时
客户A,2026-05-24,R002,平段,3,3.45,0.8,2.76,谷时
客户A,2026-05-24,R002,平段,1,1.15,0.8,0.92,谷时
客户A,2026-05-24,R002,谷段,6,6.9,0.4,2.76,谷时
客户B,2026-05-24,R003,尖峰,2,3.45,1.5,5.17,峰时
客户B,2026-05-24,R003,尖峰,2,3.45,1.5,5.17,峰时
客户B,2026-05-24,R003,高峰,2,3.45,1.2,4.14,峰时
